Title,Document Type,Name,Version
Investigating the safety impact of roadway network features of suburban arterials in Shanghai,Journal,AIAA Journal,AIAA Journal Vol 1
A usability study of four secure email tools using paired participants,Journal,AIAA Journal,AIAA Journal Vol 2
Biocompatible PEGDA Resin for 3D Printing,Journal,AIAA Journal,AIAA Journal Vol 3
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Journal,AIAA Journal,AIAA Journal Vol 4
Fabrication of High Aspect Ratio Millimeter-Tall Free-Standing Carbon Nanotube-Based Microelectrode Arrays,Journal,AIAA Journal,AIAA Journal Vol 5
The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation,Journal,AIAA Journal,AIAA Journal Vol 1
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Journal,AIAA Journal,AIAA Journal Vol 2
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Journal,AIAA Journal,AIAA Journal Vol 3
The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,Journal,AIAA Journal,AIAA Journal Vol 4
Traverses for the ISECG-GER design reference mission for humans on the lunar surface,Journal,AIAA Journal,AIAA Journal Vol 5
Effect of nozzle–plate distance on acoustic phenomena from supersonic impinging jet,Journal,AIAA Journal,AIAA Journal Vol 1
Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,Journal,AIAA Journal,AIAA Journal Vol 2
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",Journal,AIAA Journal,AIAA Journal Vol 3
Informatics analysis of capillary electropherograms of autologously doped and undoped blood,Journal,AIAA Journal,AIAA Journal Vol 4
Nano-Composite Foam Sensor System in Football Helmets,Journal,AIAA Journal,AIAA Journal Vol 5
Fundamental Principles of Tremor Propagation in the Upper Limb,Journal,AIAA Journal,AIAA Journal Vol 1
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking,Journal,AIAA Journal,AIAA Journal Vol 2
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Journal,AIAA Journal,AIAA Journal Vol 3
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,Journal,AIAA Journal,AIAA Journal Vol 4
Non-catalytic ash effect on char reactivity,Journal,AIAA Journal,AIAA Journal Vol 5
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Journal,AIAA Journal,AIAA Journal Vol 1
Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics,Journal,AIAA Journal,AIAA Journal Vol 2
Structure descriptor based on just noticeable difference for texture image classification,Journal,AIAA Journal,AIAA Journal Vol 3
Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna,Journal,AIAA Journal,AIAA Journal Vol 4
Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors,Journal,AIAA Journal,AIAA Journal Vol 5
Light splitting with imperfect wave plates,Journal,AIAA Journal,AIAA Journal Vol 1
Improving photophoretic trap volumetric displays [Invited],Journal,AIAA Journal,AIAA Journal Vol 2
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Journal,AIAA Journal,AIAA Journal Vol 3
Static structures in leaky mode waveguides,Journal,AIAA Journal,AIAA Journal Vol 4
From lignocellulose to biocomposite: Multi-level modelling and experimental investigation of the thermal properties of kenaf fiber reinforced composites based on constituent materials,Journal,AIAA Journal,AIAA Journal Vol 5
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Journal,AIAA Journal,AIAA Journal Vol 1
Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks,Journal,AIAA Journal,AIAA Journal Vol 2
A New Boundary Harnack Principle (Equations with Right Hand Side),Journal,AIAA Journal,AIAA Journal Vol 3
Target control and source estimation metrics for dynamical networks,Journal,AIAA Journal,AIAA Journal Vol 4
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Journal,AIAA Journal,AIAA Journal Vol 5
Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location,Journal,AIAA Journal,AIAA Journal Vol 1
Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase,Journal,AIAA Journal,AIAA Journal Vol 2
3D printed selectable dilution mixer pumps,Journal,AIAA Journal,AIAA Journal Vol 3
Biomechanical modeling of prosthetic mesh and human tissue surrogate interaction,Journal,AIAA Journal,AIAA Journal Vol 4
Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus,Journal,AIAA Journal,AIAA Journal Vol 5
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Journal,AIAA Journal,AIAA Journal Vol 1
Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings,Journal,AIAA Journal,AIAA Journal Vol 2
"Compositional MRI of the Hip: Reproducibility, Effect of Joint Unloading, and Comparison of T2 Relaxometry with Delayed Gadolinium-Enhanced Magnetic Resonance Imaging of Cartilage",Journal,AIAA Journal,AIAA Journal Vol 3
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,Journal,AIAA Journal,AIAA Journal Vol 4
Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,Journal,AIAA Journal,AIAA Journal Vol 5
In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,Journal,AIAA Journal,AIAA Journal Vol 1
The AFLOW Library of Crystallographic Prototypes: Part 2,Journal,AIAA Journal,AIAA Journal Vol 2
The AFLOW Library of Crystallographic Prototypes: Part 1,Journal,AIAA Journal,AIAA Journal Vol 3
Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,Journal,AIAA Journal,AIAA Journal Vol 4
High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,Journal,AIAA Journal,AIAA Journal Vol 5
Generating derivative superstructures for systems with high configurational freedom,Journal,AIAA Journal,AIAA Journal Vol 1
Generalized regular k-point grid generation on the fly,Journal,AIAA Journal,AIAA Journal Vol 2
Efficiency of Generalized Regular k-point grids,Journal,AIAA Journal,AIAA Journal Vol 3
Atomistic survey of grain boundary-dislocation interactions in FCC nickel,Journal,AIAA Journal,AIAA Journal Vol 4
Accelerating high-throughput searches for new alloys with active learning of interatomic potentials,Journal,AIAA Journal,AIAA Journal Vol 5
S-splines: A simple surface solution for IGA and CAD,Journal,AIAA Journal,AIAA Journal Vol 1
"Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications",Journal,AIAA Journal,AIAA Journal Vol 2
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Journal,AIAA Journal,AIAA Journal Vol 3
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry,Journal,AIAA Journal,AIAA Journal Vol 4
Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,Journal,AIAA Journal,AIAA Journal Vol 5
"Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth",Journal,AIAA Journal,AIAA Journal Vol 1
Bézier B̄ projection,Journal,AIAA Journal,AIAA Journal Vol 2
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Journal,AIAA Journal,AIAA Journal Vol 3
A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows,Journal,AIAA Journal,AIAA Journal Vol 4
"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Hybrid state transactional database for product lifecycle management features in a multi-engineer synchronous heterogeneous CAD environment,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Exploration and evaluation of CAD modeling in virtual reality,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Associative CAD references in the neutral parametric canonical form,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Analysis and evaluation of partitioning techniques for multi-user CAD,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
A neutral XML design framework for generating parametric parts in multiple CAD systems,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
A comparative analysis of computer-aided design team performance with collaboration software,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
A CAD assembly simplification approach with ray casting,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
The effects of transition style for collaborative view sharing in immersive Virtual Reality,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Simphony: An open-source photonic integrated circuit simulation framework,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Compressive strength of high-strength concrete masonry grouted prisms,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Using a Product's Sustainability Space as a Design Exploration Tool,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
The design critique and the moral goods of studio pedagogy,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Synthesis of high-specific volume carbon nanotube structures for gas-phase applications,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Interleaving physics- and data-driven models for power system transient dynamics,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Smart camera for quality inspection and grading of food products,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Optimization and implementation of synthetic basis feature descriptor on FPGA,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Hardware friendly robust synthetic basis feature descriptor,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Ground-based 3D radar imaging of trees using a 2D synthetic aperture,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Efficient evolutionary learning algorithm for real-time embedded vision applications,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Optimising the design of phased array feeds for survey speed,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Flexural strength and stiffness of block-out connections for steel columns,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Analytical fragility curves for non-skewed highway bridges in Chile,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
An optical method for the measurement of combustion gas temperature in particle laden flows,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Three-dimensional microscopic light field particle image velocimetry,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Lab-scale observations of flame attachment on slopes with implications for firefighter safety zones,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Semi-empirical Model for Fire Spread in Shrubs with Spatially-Defined Fuel Elements and Flames,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Mechanical and temperature resilience of multi-material systems for printed electronics packaging,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Volume and frequency-independent spreading of droplets driven by ultrasonic surface vibration,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Running shoe optimal stiffness and speed,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
"Relationships between footwear, foot structure, and foot muscle strength",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Improving running economy through altered shoe bending stiffness across speeds,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Waves of destruction in the East Indies: The Wichmann catalogue of earthquakes and tsunami in the Indonesian region from 1538 to 1877,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
"Alluvial and fluvial fans on Saturn's moon Titan reveal processes, materials and regional geology",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Radiative properties of gases,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Convolutional Neural Network Based on Complex Networks for Brain Tumor Image Classification with a Modified Activation Function,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Spectrum allocations: The aeronautical telemetry story in the USA,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Glue Technologies for Space Systems: An Introduction to a New AESS Technical Panel,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Array Antenna Gain Enhancement with the Poynting Streamline Method,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Relative Navigation: A Keyframe-Based Approach for Observable GPS-Degraded Navigation,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Extension of the QuikSCAT Sea Ice Extent Data Set with OSCAT Data,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Optimized ARROW-Based MMI Waveguides for High Fidelity Excitation Patterns for Optofluidic Multiplexing,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Error correction in structured optical receivers,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Mitigating Water Absorption in Waveguides Made from Unannealed PECVD SiO2,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Buried Rib SiO2 Multimode Interference Waveguides for Optofluidic Multiplexing,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
Johnny's Journey Toward Usable Secure Email,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Space-Time Coding for Aeronautical Telemetry: Part i - Estimators,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
On the effects of channel sparsity on joint estimators in aeronautical telemetry,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 2
On Sparse Channel Estimation in Aeronautical Telemetry,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 3
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 4
Comparison and Analysis of Recursive-RANSAC for Multiple Target Tracking,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 5
Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,Journal,IEEE Robotics and Automation Letters,IEEE RAL Vol 1
The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Sidelobe Level and Aperture Efficiency Optimization for Tiled Aperiodic Array Antennas,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Secure Array Synthesis in Multipath Channels,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
"Poynting Streamlines, Effective Area Shape, and the Design of Superdirective Antennas",Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Antenna Loss and Receiving Efficiency for Mutually Coupled Arrays,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
A Comparison of Indoor MIMO Measurements and Ray-Tracing at 24 and 2.55 GHz,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Optimal Distributed Control for Platooning via Sparse Coprime Factorizations,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
"High-Precision, Mixed-Signal Mismatch Measurement of Metal-Oxide-Metal Capacitors",Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Direct Measurement of High-Gain and Complementary Charge-Steering Amplifiers,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Thermal and Vapor Smoothing of Thermoplastic for Reduced Surface Roughness of Additive Manufactured RF Electronics,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Active Integrated Antenna Supporting Linear and Circular Polarizations,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
A minimal realization technique for the dynamical structure function of a class of LTI systems,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Enhanced-Resolution SMAP Brightness Temperature Image Products,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Generating a Binary Symmetric Channel for Wiretap Codes,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Review of research on student-facing learning analytics dashboards and educational recommender systems,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Strategies for Removing Common Mode Failures from TMR Designs Deployed on SRAM FPGAs,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Selective hardening for neural networks in FPGAs,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Microcontroller compiler-assisted software fault tolerance,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Improving the Reliability of TMR with Nontriplicated I/O on SRAM FPGAs,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Dynamic SEU Sensitivity of Designs on Two 28-nm SRAM-Based FPGA Architectures,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Applying Compiler-Automated Software Fault Tolerance to Multiple Processor Platforms,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
A Hybrid Approach to FPGA Configuration Scrubbing,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Measurement-Directed Reduction of Dynamic Models in Power Systems,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Data-driven dynamic equivalents for power system areas from boundary measurements,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Using case-method pedagogy to facilitate audience awareness,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Plain-Style Preferences of US Professionals,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Effects of Laryngeal Activity on Articulation,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Configuration estimation for accurate position control of large-scale soft robots,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Information geometry for model identification and parameter estimation in renewable energy - DFIG plant case,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Flexible hybrid state estimation for power systems with communication irregularities,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Differential effects of air conditioning type on residential endotoxin levels in a semi-arid climate,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",Journal,International Journal of Technology and Design Education,IJTDE Vol 2
New Vapor-Pressure Prediction with Improved Thermodynamic Consistency using the Riedel Equation,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Low Temperature Oxidative Dehydrogenation of Ethane by Ce-Modified NiNb Catalysts,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Dryland agriculture in north america,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Spectral and Dynamic Consequences of Network Specialization,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Use of Personality Profile Assessments in the U.S. Commercial Construction Industry,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Modeling and using secondary taste terms,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Design of low-power ultra-high voltage gain differential cascode stages,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Collaboration task-technology fit for student distributed engineering design teams,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
An investigation of self-efficacy and topic emotions in entry-level engineering design learning activities,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Two-phase flow pressure drop in superhydrophobic channels,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Total hemispherical apparent radiative properties of the infinite V-groove with specular reflection,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip,Journal,International Journal of Technology and Design Education,IJTDE Vol 5
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,Journal,International Journal of Technology and Design Education,IJTDE Vol 3
Hydrodynamics of droplet impingement on hot surfaces of varying wettability,Journal,International Journal of Technology and Design Education,IJTDE Vol 4
"Heat transfer, efficiency and turn-down ratio of a dynamic radiative heat exchanger",Journal,International Journal of Technology and Design Education,IJTDE Vol 5
Heat transfer to bouncing droplets on superhydrophobic surfaces,Journal,International Journal of Technology and Design Education,IJTDE Vol 1
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,Journal,International Journal of Technology and Design Education,IJTDE Vol 2
